"Time (s)","Sound pressure level (dB)"
3.768072900E1,-7.270589121E1
3.778884996E1,-7.427479895E1
3.789758950E1,-7.337420616E1
3.800555646E1,-7.462893490E1
3.811456500E1,-7.285718467E1
3.822227262E1,-7.358565986E1
3.833095792E1,-7.347604739E1
3.843897596E1,-7.398700371E1
3.854781700E1,-7.349735751E1
3.865551225E1,-7.367137312E1
3.876403687E1,-7.410380240E1
3.887213967E1,-7.512438301E1
3.898088708E1,-7.509178513E1
3.908885337E1,-7.403945488E1
3.919764213E1,-7.546224329E1
3.930550471E1,-7.357093353E1
3.941257971E1,-7.526281216E1
3.952124042E1,-7.412956113E1
3.962967054E1,-7.551642057E1
3.973838429E1,-7.624606899E1
3.984730558E1,-7.505958933E1
3.995537871E1,-7.306596963E1
4.006416904E1,-7.435791752E1
4.017213362E1,-7.335781176E1
4.028084150E1,-7.353683352E1
4.038875342E1,-7.627900001E1
4.049338712E1,-6.282048696E1
4.060204979E1,-7.240562722E1
4.071105008E1,-7.448529730E1
4.081980879E1,-3.380391558E1
4.092853879E1,-3.754351277E1
4.103429596E1,-3.832555164E1
4.113879683E1,-3.946347795E1
4.124536050E1,-4.000141989E1
4.135386508E1,-4.104445960E1
4.146283554E1,-4.093060892E1
4.156753763E1,-4.193276496E1
4.167203400E1,-4.223667632E1
4.177745963E1,-4.317638880E1
4.188623183E1,-4.334665073E1
4.199497071E1,-4.445012323E1
4.210376142E1,-4.480188176E1
4.221267912E1,-4.508531331E1
4.232145012E1,-4.635809484E1
4.242744367E1,-4.552682336E1
4.253624954E1,-4.717582188E1
4.264493954E1,-4.767490822E1
4.275356813E1,-4.801110510E1
4.286238104E1,-4.877685030E1
4.297104762E1,-4.925571865E1
4.307995550E1,-5.013658336E1
4.318863375E1,-5.116878818E1
4.329696154E1,-5.071789726E1
4.340520467E1,-5.310075649E1
4.351391908E1,-5.174422277E1
4.362193687E1,-5.394509830E1
4.373071071E1,-5.379441432E1
4.383864392E1,-5.436144230E1
4.394563287E1,-5.530951819E1
4.405299263E1,-5.695363406E1
4.416179183E1,-5.660394248E1
4.427046433E1,-5.890222615E1
4.437917675E1,-5.710776686E1
4.448791433E1,-6.032616194E1
4.459405033E1,-5.890691521E1
4.470269687E1,-6.051998453E1
4.481168929E1,-6.172168682E1
4.491788042E1,-6.033141573E1
4.502183029E1,-6.330648799E1
